StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Screen 1,Screen 2,End Coordinate,Start Coordinate,Q6,1_Q10,2_Q10,3_Q10,4_Q10,5_Q10,6_Q10,7_Q10,8_Q10,9_Q10,10_Q10,11_Q10,12_Q10,13_Q10,14_Q10,15_Q10,16_Q10,17_Q10,18_Q10,19_Q10,20_Q10,21_Q10,22_Q10,23_Q10,24_Q10,25_Q10,26_Q10,27_Q10,28_Q10,29_Q10,30_Q10,participantId,assignmentId,projectId
2023-02-17 13:51:22,2023-02-17 13:51:26,IP Address,76.78.51.107,100,3,True,2023-02-17 13:51:26,R_1Nfaon5gRIbXBQc,,,,,42.8167,-73.9256,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-17 13:59:24,2023-02-17 13:59:39,IP Address,65.190.245.108,100,14,True,2023-02-17 13:59:39,R_3CAUQfiekULthhI,,,,,36.0217,-79.7839,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3F38F252286247618485E879DFAFAD45,d0c2cb21-b82d-49bb-aabe-b5107cba55e6,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 13:59:31,2023-02-17 13:59:40,IP Address,174.48.12.168,100,8,True,2023-02-17 13:59:40,R_1dBkh4Y2EgyGluS,,,,,26.2822,-80.1156,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3FB5109B49754D9D996A1DADE4CC1DAD,18ddb8b4-7617-4777-87b6-7151c04779d6,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 13:59:54,2023-02-17 13:59:57,IP Address,173.220.29.154,100,3,True,2023-02-17 13:59:58,R_cJj7zbibtKhFtOF,,,,,40.6214,-73.9705,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3B8488407EB0403686FDCAFEAABB5AFA,a5184a3e-371c-434a-b6b7-3a14eb9b3190,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 13:59:56,2023-02-17 14:00:08,IP Address,68.202.23.254,100,12,True,2023-02-17 14:00:09,R_1H0oISuWr0SJ8Yl,,,,,28.0366,-80.5808,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B49FFE7A3798495E9CD3B5056A0475E0,9cdca9f0-c9af-42bc-97bb-19397f2027c0,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 13:59:58,2023-02-17 14:00:12,IP Address,70.23.91.254,100,14,True,2023-02-17 14:00:13,R_u3KvH3lOLC2xxN7,,,,,40.6002,-74.1469,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7EC02F99B7254AA285AD30B426259592,b8a92a3c-aef7-4684-9669-2cef709fd4bd,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:00:00,2023-02-17 14:00:14,IP Address,98.233.89.114,100,14,True,2023-02-17 14:00:15,R_YWhxzeqGeG39XH3,,,,,38.9994,-77.0336,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05F5987ECD4D492E96AF3637F44C1FD5,cc7c8787-e831-451d-9dd7-2ea9f7bc5220,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:00:05,2023-02-17 14:00:16,IP Address,71.227.61.125,100,10,True,2023-02-17 14:00:17,R_x021n9zJhyS792V,,,,,42.4943,-83.2072,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A06417AC3EFC422EB4D00E4A35EAAF60,2aaee22d-72b9-4e8a-a708-008fe697e142,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 13:59:55,2023-02-17 14:00:19,IP Address,75.74.198.117,100,24,True,2023-02-17 14:00:20,R_AC1QxTVvJnZBZkJ,,,,,25.761,-80.2325,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9738D46BE55243BFABB97343B8B0F8FE,bc6c7b7d-4dd1-494a-8bb3-ddb15db89fd3,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:00:17,2023-02-17 14:00:21,IP Address,73.166.120.163,100,3,True,2023-02-17 14:00:22,R_3Eao66wHi0R0IeG,,,,,29.5183,-95.0977,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8FD1D7CFE8C146558D361B11982CFF04,796ee11f-a779-44f3-be64-ae005f45604f,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:00:21,2023-02-17 14:00:26,IP Address,76.14.50.164,100,5,True,2023-02-17 14:00:28,R_31ag0nTYHqvdpJQ,,,,,37.9208,-122.0182,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACFC0EF1E2E147509A903660C8F14F64,45af38d1-d7e1-4d7b-9952-6ed715f05817,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:00:29,2023-02-17 14:00:32,IP Address,67.249.136.254,100,2,True,2023-02-17 14:00:33,R_WqvN1S77TsRpNeh,,,,,42.4444,-76.4926,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EF287832985D4C8DB9D965267630C039,b0bfa80c-1a67-4ef7-8412-1081bb119354,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:00:10,2023-02-17 14:00:33,IP Address,47.28.52.18,100,23,True,2023-02-17 14:00:34,R_32XWTacVgDy7ipI,,,,,42.055,-124.2803,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160F3210920D4FA183BBBDB1324B866C,6dec4cfd-1f39-49cd-bd56-ceed310e6154,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:00:26,2023-02-17 14:00:34,IP Address,108.246.220.15,100,7,True,2023-02-17 14:00:34,R_3iCHlGibsX6rNYu,,,,,33.9339,-117.8854,anonymous,EN,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BB5DC465650A4190AAE87F0443FB5041,55f06e8d-adf1-4e80-894b-3516522e8c9d,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:00:33,2023-02-17 14:00:38,IP Address,172.56.153.147,100,5,True,2023-02-17 14:00:39,R_Rx0vErvRpDgCdUd,,,,,45.5288,-122.6821,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7D99214EA0BF4F92976771DD63090E71,c0e5d4a2-4ca7-440d-bcc0-31c096d7cb33,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:00:11,2023-02-17 14:00:39,IP Address,65.30.34.168,100,27,True,2023-02-17 14:00:40,R_3dVRUCDCXZFJhZj,,,,,42.9896,-88.0876,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51685DBA0D9E43E6820E388CC4823C5E,008e5849-ab97-4003-9370-b34093a3fe83,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:00:35,2023-02-17 14:00:42,IP Address,35.137.77.88,100,7,True,2023-02-17 14:00:43,R_1FS3QdDZRkGIxJV,,,,,28.2987,-82.6902,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0A6A1214AF6D42B3B1CD9F32E5103FEB,5932a506-19d2-428d-9886-5e7cda283b30,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:00:39,2023-02-17 14:00:49,IP Address,68.101.246.154,100,10,True,2023-02-17 14:00:49,R_1InIm7vPa0IgxIy,,,,,33.1432,-117.1666,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7383960D79774A2389BD061F859667BD,2de43a5b-ceb6-403c-aa77-dae97f077b2c,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:00:42,2023-02-17 14:00:49,IP Address,71.75.86.110,100,7,True,2023-02-17 14:00:49,R_2dyzdqjNCGzdDQc,,,,,35.5838,-80.864,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1E9F2DF0EAC14FE5ACF9DC801B872A3F,17cd7713-d210-479b-8137-34418eeaebab,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:00:33,2023-02-17 14:00:50,IP Address,24.106.168.58,100,17,True,2023-02-17 14:00:51,R_1pzmvdeMwPBDp5H,,,,,35.0276,-78.9709,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8D0A18586739478F9EE9830FA68C0F83,eece8f1c-c6e8-48ee-b400-791cce20f23d,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:00:46,2023-02-17 14:00:54,IP Address,104.229.232.9,100,7,True,2023-02-17 14:00:54,R_33vUOhZ2W7qBH5N,,,,,43.0455,-74.8598,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0B7EA3BD810140FCA3ACD39A85FC2352,cce964a3-95ee-414b-b03a-52bced9023b8,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:00:52,2023-02-17 14:00:57,IP Address,69.10.126.81,100,5,True,2023-02-17 14:00:57,R_2fdiMN56iENOlJa,,,,,37.7676,-92.2105,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0904F55ED30C4FE69FCA51002E88A391,f4865446-40be-4086-a81c-ae3a19ae40cc,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 13:59:51,2023-02-17 14:00:56,IP Address,108.49.97.118,100,64,True,2023-02-17 14:00:58,R_1H2Li19BglK31hn,,,,,42.2832,-71.4296,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D7E4ED4039DD426F8868B7E755D31F17,fdf9908a-2a14-4110-b628-86f13bc3b068,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:00:50,2023-02-17 14:01:00,IP Address,47.184.111.78,100,9,True,2023-02-17 14:01:02,R_7Uk7IGNqHbe13y1,,,,,33.238,-97.1134,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817D0F24B1DB4C448AEFAC65F207A782,10e2f936-f06f-469d-b2c1-f1d912d1ad13,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:00:58,2023-02-17 14:01:05,IP Address,76.156.172.168,100,7,True,2023-02-17 14:01:06,R_3soHKN0XHB4tbNF,,,,,45.1181,-93.3078,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DA3EB465445C4FE5974DF970C3CB6FBF,686d5835-bc3b-465b-8736-328bf0f6fadb,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
